Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","642","Romania","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","98.598076","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","98.428062","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","98.188043","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","98.248048","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","98.148039","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","98.568074","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","98.628079","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","98.868098","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","98.688084","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","98.598076","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","98.678083","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","98.948105","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","99.228128","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","99.268131","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","99.578157","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","99.388141","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","99.878181","X","Figure from international organizations","base year is 2015"
