Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","642","Romania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","97.364831","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","97.403664","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","97.316289","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","96.753206","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","97.267748","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","97.491039","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","97.743456","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","98.632921","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.278028","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","99.502838","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","99.688551","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","100.29456","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","100.118622","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","99.727648","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","98.867506","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","99.405095","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","100.695308","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","101.271995","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","101.721614","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","102.372633","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","102.993135","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","103.491571","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","103.674669","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","104.234138","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","103.979834","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","103.145717","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","102.97279","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","103.827252","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","104.457926","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","104.173105","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","104.874985","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","106.238359","A","Official figure","base year is 2015"
