Temperature - (Celsius), Year, Statistics, Country, ISO3
-7.2,1901, Jan Average, Romania, ROU
-3.7,1901, Feb Average, Romania, ROU
4.7,1901, Mar Average, Romania, ROU
9.1,1901, Apr Average, Romania, ROU
14.9,1901, May Average, Romania, ROU
19.4,1901, Jun Average, Romania, ROU
20.3,1901, Jul Average, Romania, ROU
18.9,1901, Aug Average, Romania, ROU
14.5,1901, Sep Average, Romania, ROU
10.3,1901, Oct Average, Romania, ROU
2.1,1901, Nov Average, Romania, ROU
2.4,1901, Dec Average, Romania, ROU
0,1902, Jan Average, Romania, ROU
0.9,1902, Feb Average, Romania, ROU
2.8,1902, Mar Average, Romania, ROU
7.9,1902, Apr Average, Romania, ROU
11.5,1902, May Average, Romania, ROU
17.5,1902, Jun Average, Romania, ROU
18.4,1902, Jul Average, Romania, ROU
19.5,1902, Aug Average, Romania, ROU
14.8,1902, Sep Average, Romania, ROU
9.4,1902, Oct Average, Romania, ROU
-0.7,1902, Nov Average, Romania, ROU
-6.5,1902, Dec Average, Romania, ROU
-3.5,1903, Jan Average, Romania, ROU
0.9,1903, Feb Average, Romania, ROU
5.1,1903, Mar Average, Romania, ROU
7.9,1903, Apr Average, Romania, ROU
14.4,1903, May Average, Romania, ROU
17.1,1903, Jun Average, Romania, ROU
19.2,1903, Jul Average, Romania, ROU
18.7,1903, Aug Average, Romania, ROU
15.7,1903, Sep Average, Romania, ROU
10.1,1903, Oct Average, Romania, ROU
5,1903, Nov Average, Romania, ROU
0,1903, Dec Average, Romania, ROU
-5.3,1904, Jan Average, Romania, ROU
1.7,1904, Feb Average, Romania, ROU
2.3,1904, Mar Average, Romania, ROU
8.7,1904, Apr Average, Romania, ROU
13.7,1904, May Average, Romania, ROU
17.7,1904, Jun Average, Romania, ROU
20.4,1904, Jul Average, Romania, ROU
19.4,1904, Aug Average, Romania, ROU
13.8,1904, Sep Average, Romania, ROU
10.2,1904, Oct Average, Romania, ROU
1.4,1904, Nov Average, Romania, ROU
-0.7,1904, Dec Average, Romania, ROU
-7.2,1905, Jan Average, Romania, ROU
-2.5,1905, Feb Average, Romania, ROU
3.1,1905, Mar Average, Romania, ROU
7.7,1905, Apr Average, Romania, ROU
14.9,1905, May Average, Romania, ROU
18.4,1905, Jun Average, Romania, ROU
21,1905, Jul Average, Romania, ROU
21.2,1905, Aug Average, Romania, ROU
16.5,1905, Sep Average, Romania, ROU
7.4,1905, Oct Average, Romania, ROU
6.5,1905, Nov Average, Romania, ROU
-1.3,1905, Dec Average, Romania, ROU
-3.3,1906, Jan Average, Romania, ROU
-0.6,1906, Feb Average, Romania, ROU
4.9,1906, Mar Average, Romania, ROU
10.3,1906, Apr Average, Romania, ROU
15.5,1906, May Average, Romania, ROU
18,1906, Jun Average, Romania, ROU
19.9,1906, Jul Average, Romania, ROU
18.1,1906, Aug Average, Romania, ROU
13.7,1906, Sep Average, Romania, ROU
8.4,1906, Oct Average, Romania, ROU
6.1,1906, Nov Average, Romania, ROU
-2,1906, Dec Average, Romania, ROU
-5.7,1907, Jan Average, Romania, ROU
-5.3,1907, Feb Average, Romania, ROU
-0.7,1907, Mar Average, Romania, ROU
6.6,1907, Apr Average, Romania, ROU
17.6,1907, May Average, Romania, ROU
18.2,1907, Jun Average, Romania, ROU
19,1907, Jul Average, Romania, ROU
19.1,1907, Aug Average, Romania, ROU
14.7,1907, Sep Average, Romania, ROU
13,1907, Oct Average, Romania, ROU
1.8,1907, Nov Average, Romania, ROU
-0.1,1907, Dec Average, Romania, ROU
-4,1908, Jan Average, Romania, ROU
-0.5,1908, Feb Average, Romania, ROU
3.2,1908, Mar Average, Romania, ROU
8.2,1908, Apr Average, Romania, ROU
16.8,1908, May Average, Romania, ROU
19.1,1908, Jun Average, Romania, ROU
19.4,1908, Jul Average, Romania, ROU
18.4,1908, Aug Average, Romania, ROU
13.9,1908, Sep Average, Romania, ROU
7.9,1908, Oct Average, Romania, ROU
-1.5,1908, Nov Average, Romania, ROU
-3.2,1908, Dec Average, Romania, ROU
-6.5,1909, Jan Average, Romania, ROU
-6.5,1909, Feb Average, Romania, ROU
3.2,1909, Mar Average, Romania, ROU
8.9,1909, Apr Average, Romania, ROU
14,1909, May Average, Romania, ROU
17.4,1909, Jun Average, Romania, ROU
19.6,1909, Jul Average, Romania, ROU
20.5,1909, Aug Average, Romania, ROU
17,1909, Sep Average, Romania, ROU
11.6,1909, Oct Average, Romania, ROU
3.1,1909, Nov Average, Romania, ROU
1.9,1909, Dec Average, Romania, ROU
-1.4,1910, Jan Average, Romania, ROU
2.6,1910, Feb Average, Romania, ROU
3.8,1910, Mar Average, Romania, ROU
9.4,1910, Apr Average, Romania, ROU
14.8,1910, May Average, Romania, ROU
18.7,1910, Jun Average, Romania, ROU
19.1,1910, Jul Average, Romania, ROU
18.9,1910, Aug Average, Romania, ROU
14.8,1910, Sep Average, Romania, ROU
8.7,1910, Oct Average, Romania, ROU
4,1910, Nov Average, Romania, ROU
1.7,1910, Dec Average, Romania, ROU
-2.7,1911, Jan Average, Romania, ROU
-5.6,1911, Feb Average, Romania, ROU
